method,period,monthly_return
intraday_momentum,2024-09,-0.0021649325149700207
intraday_momentum,2024-10,0.008641592816717102
intraday_momentum,2024-11,-0.00406842039841361
intraday_momentum,2024-12,-0.0009638252879813497
intraday_momentum,2025-03,0.0002513882596436816
intraday_momentum,2025-04,-0.017950979643568267
intraday_momentum,2025-05,-0.014151994799000853
intraday_momentum,2025-06,-0.02710212162184602
intraday_momentum,2025-09,0.0012181900691424585
ml_direction,2017-05,0.00361000000000001
ml_direction,2017-06,-0.0019475
ml_direction,2017-07,0.002295113042644649
ml_direction,2017-08,-0.0008835140210343154
ml_direction,2017-09,-0.0014709875114106
ml_direction,2017-10,0.0022569492567315586
ml_direction,2017-11,-0.000845036379762169
ml_direction,2017-12,-0.000208428364237484
ml_direction,2018-01,-0.0019427851195660756
ml_direction,2018-02,-0.0032758037810667
ml_direction,2018-05,-0.000377975214594216
ml_direction,2018-09,-0.0002108055281874125
ml_direction,2018-10,0.0001036965725872145
ml_direction,2018-12,-0.0003512327915741505
ml_direction,2019-01,0.001574624537343464
ml_direction,2019-03,-4.81609845445505e-05
ml_direction,2019-05,0.00046489157535491155
ml_direction,2019-06,0.0004616577750513295
ml_direction,2019-07,0.001606673026398557
ml_direction,2019-08,0.00046596772898940803
ml_direction,2019-09,0.000254209505733173
ml_direction,2019-10,0.0016592887414799108
ml_direction,2019-12,-0.0004059591945936445
ml_direction,2020-02,-0.0006598347087938905
ml_direction,2020-03,-0.0024890205786653784
ml_direction,2020-04,-0.0019475
ml_direction,2020-05,0.00030374740668237803
ml_direction,2020-06,-0.00045072990401904194
ml_direction,2020-07,-0.001790505351138926
ml_direction,2020-09,-0.001307960157766766
ml_direction,2020-11,-0.0006563071083987996
ml_direction,2020-12,0.000365990379941663
ml_direction,2021-01,0.000149197712250368
ml_direction,2021-02,-0.0005433868146042285
ml_direction,2021-03,-0.0019474999999999905
ml_direction,2021-06,-0.0004218304255813245
ml_direction,2021-07,0.0008252360798653975
ml_direction,2021-08,-0.0008032777474556345
ml_direction,2021-10,0.0011181951758857335
ml_direction,2021-11,0.000116761265393982
ml_direction,2022-04,-0.0007064483341608845
ml_direction,2022-05,0.00029502463014081546
ml_direction,2022-06,-3.296501779887699e-05
ml_direction,2022-09,-0.00046223098449275945
ml_direction,2023-08,-0.0019475000000000098
ml_direction,2024-08,0.0009629691225654201
ml_direction,2024-10,-0.0033820454193862945
ml_direction,2025-02,-0.0019475
ml_ranker,2017-04,0.00010118608422775212
ml_ranker,2017-05,0.0014640880418023705
ml_ranker,2017-06,-0.003044811110600871
ml_ranker,2017-07,-0.0023949571050592175
ml_ranker,2017-08,-0.01041322982109457
ml_ranker,2017-09,-0.008547369417769759
ml_ranker,2017-10,-0.004853843593051445
ml_ranker,2017-11,-0.0035040855084175616
ml_ranker,2017-12,-0.00028451757719061467
ml_ranker,2018-01,-0.0038346110041386277
ml_ranker,2018-02,0.0019154644053899455
ml_ranker,2018-03,-0.005901247850192582
ml_ranker,2018-04,0.00026474088445696715
ml_ranker,2018-05,-0.006563553145467461
ml_ranker,2018-06,-0.002062032418713165
ml_ranker,2018-07,-0.00084128483215558
ml_ranker,2018-08,-0.002360944289298317
ml_ranker,2018-09,-0.002103748534835419
ml_ranker,2018-10,-0.003178952291716524
ml_ranker,2018-11,0.000678824086874623
ml_ranker,2018-12,-0.000920958240677949
ml_ranker,2019-01,-0.003901508464112032
ml_ranker,2019-02,0.0026233597591186096
ml_ranker,2019-03,0.0009264923149625586
ml_ranker,2019-04,-0.0005243731918713315
ml_ranker,2019-05,0.0027942255803972745
ml_ranker,2019-06,-0.0019996407572367486
ml_ranker,2019-07,-0.0017284538628335806
ml_ranker,2019-08,-0.000993313076100636
ml_ranker,2019-09,0.002434182925400184
ml_ranker,2019-10,0.0007426849215616004
ml_ranker,2019-11,-0.001964695141304748
ml_ranker,2019-12,-0.002184995811317931
ml_ranker,2020-01,0.0005020456504733012
ml_ranker,2020-02,0.0004643345269418871
ml_ranker,2020-03,-0.0012883504032312602
