k,silhouette,validation_selected_cluster_mean,validation_positive_clusters,cluster,count,next_day_return_mean,next_day_return_median,hit_rate,period,fold
4,,,,2.0,3081.0,-0.0017181382374908975,-0.0013317191283293006,0.45472249269717624,test,9
4,,,,3.0,1480.0,0.0012064961611399844,0.0018851628849622104,0.5358108108108108,test,9
4,0.22044156483981692,0.0011213500008495085,2.0,,,,,,,10
6,0.12752936252701444,0.0050990167346534375,1.0,,,,,,,10
8,0.13101089885126974,0.0029852777767149057,2.0,,,,,,,10
10,0.13546127190950133,0.0054567347832691175,1.0,,,,,,,10
10,,,,0.0,410.0,-0.00394666805688454,-0.003481653253816608,0.4146341463414634,validation,10
10,,,,1.0,1010.0,-0.002744242968785872,-0.0032282813984362835,0.4079207920792079,validation,10
10,,,,2.0,1172.0,-0.00018962789619090235,0.0002514178780570475,0.5059726962457338,validation,10
10,,,,3.0,231.0,-0.0028581892016458148,-0.0038031319910515338,0.4155844155844156,validation,10
10,,,,4.0,21.0,0.006289031425368165,0.0027297543221109777,0.5238095238095238,validation,10
10,,,,5.0,1532.0,-0.0012403514321026885,-0.0008333257905956404,0.46736292428198434,validation,10
10,,,,6.0,457.0,-0.0015761742118613298,0.0,0.48577680525164113,validation,10
10,,,,7.0,340.0,0.0054567347832691175,0.007338130602580151,0.6147058823529412,validation,10
10,,,,8.0,361.0,-0.0015680224306230631,-0.0017513134851138146,0.45429362880886426,validation,10
10,,,,9.0,51.0,-0.00024679125069748675,-0.00550584996558845,0.39215686274509803,validation,10
10,,,,0.0,313.0,0.0026422945770555803,-0.0003776435045318438,0.48562300319488816,test,10
10,,,,1.0,984.0,0.00021177295151827662,-0.001144748417075736,0.47865853658536583,test,10
10,,,,2.0,1063.0,0.004758990293650932,0.002612994350282616,0.5531514581373471,test,10
10,,,,3.0,391.0,0.004552329131358942,0.0008992805755394517,0.5038363171355499,test,10
10,,,,4.0,19.0,0.01000110870734694,0.00996274798579222,0.6842105263157895,test,10
10,,,,5.0,1381.0,0.0007000294518481504,-0.00031710797526562917,0.49094858797972485,test,10
10,,,,6.0,833.0,0.001153420561888937,4.8685491723432506e-05,0.5006002400960384,test,10
10,,,,7.0,237.0,0.006224464065005324,0.0032383419689119286,0.5443037974683544,test,10
10,,,,8.0,237.0,-0.0003573043822198286,-0.0014053089449029832,0.47257383966244726,test,10
10,,,,9.0,73.0,0.002308258585869756,0.0004339336081580214,0.5342465753424658,test,10
4,0.14796801050314962,0.0029338813675392527,4.0,,,,,,,11
6,0.1234991114441679,0.004240304407526041,4.0,,,,,,,11
8,0.1117344130301938,0.0037456170512441523,7.0,,,,,,,11
10,0.1185993877749304,0.0031847332229369162,7.0,,,,,,,11
6,,,,0.0,320.0,0.0067138803594331085,0.004517089093701965,0.5625,validation,11
6,,,,1.0,1977.0,-7.49516223854447e-05,-0.001013464601129388,0.47243297926150735,validation,11
6,,,,2.0,340.0,0.005523424831652642,0.001524156348403194,0.5176470588235295,validation,11
6,,,,3.0,1193.0,0.0012276513835156302,0.0,0.49706621961441744,validation,11
6,,,,4.0,1603.0,0.0034962610555027826,0.001692267638635947,0.5377417342482844,validation,11
6,,,,5.0,98.0,0.006157648721215491,0.0016923747694124192,0.5204081632653061,validation,11
6,,,,0.0,248.0,0.002339992703412136,0.0014943891259679987,0.532258064516129,test,11
6,,,,1.0,2625.0,0.00018238116580049919,-0.0002666903724777292,0.4826666666666667,test,11
6,,,,2.0,137.0,0.007329284599953758,0.0029457973291437956,0.5328467153284672,test,11
6,,,,3.0,962.0,0.000652328354398923,-0.000936105216345906,0.4760914760914761,test,11
6,,,,4.0,1488.0,-0.0009540970130688347,0.0,0.4899193548387097,test,11
6,,,,5.0,66.0,0.0038197492018182174,0.007465192465192505,0.6060606060606061,test,11
4,0.18804989980319334,0.0018746651713879067,3.0,,,,,,,12
6,0.16716243236060718,0.0025872586908595764,4.0,,,,,,,12
8,0.16609346665144184,0.0021336216555052833,6.0,,,,,,,12
10,0.1471783875253111,0.0026144731686498085,5.0,,,,,,,12
4,,,,0.0,473.0,0.0013972237746535535,0.002137894174238486,0.5454545454545454,validation,12
4,,,,1.0,3028.0,-0.0005574446155467166,-0.00043004157761972195,0.47820343461030385,validation,12
4,,,,2.0,264.0,0.003268645205839379,0.0,0.4962121212121212,validation,12
4,,,,3.0,1761.0,0.0009581265336707869,-0.0001105338786338006,0.4894946053378762,validation,12
4,,,,0.0,2063.0,-0.003861084412689826,-0.002936857562408024,0.46437227338826953,test,12
4,,,,1.0,1162.0,-0.0017402976900683191,-0.0008721255390608529,0.46987951807228917,test,12
4,,,,2.0,1118.0,-0.004704028066514495,-0.0038233356338953084,0.45706618962432916,test,12
4,,,,3.0,960.0,0.0008784964207887709,0.0009079267694361848,0.5135416666666667,test,12
4,-0.021190805481729132,0.0010190755101441135,1.0,,,,,,,13
6,0.0006629373522723802,0.0016067246094197934,3.0,,,,,,,13
8,0.022402879489989116,0.003189365277866447,3.0,,,,,,,13
10,0.021294595518395087,0.0034966962643927842,3.0,,,,,,,13
10,,,,0.0,414.0,-6.36747400727429e-05,-0.0007926707047751225,0.45652173913043476,validation,13
10,,,,1.0,170.0,-0.003809609406801632,-0.001558901098901111,0.47058823529411764,validation,13
10,,,,2.0,561.0,0.005909428249309977,0.0044967880085653444,0.5365418894830659,validation,13
10,,,,3.0,471.0,0.0032825165652941497,0.0013745704467353903,0.5371549893842887,validation,13
10,,,,4.0,795.0,-0.002633140179380341,-0.001704303365999249,0.47044025157232705,validation,13
